id_penerbit,nama_penerbit,alamat
PN24001,Pastel Books,Bandung
PN24002,Qanita,Bandung
PN24003,Penerbit Haru,Banten
PN24004,Elex Media Komputindo,Bogor
PN24005,Kakilangit Kencana,Bogor
PN24006,Balai Pustaka,Jakarta
PN24007,Banana Publishe,Jakarta
PN24008,Diva Press,Jakarta
PN24009,FIM Kreasindo Gemilang,Jakarta
PN24010,Gagas Media,Jakarta
PN24011,Gramedia,Jakarta
PN24012,Gramedia Pustaka Utama,Jakarta
PN24013,Hasta Mitra,Jakarta
PN24014,Kepustakaan Populer Gramedia,Jakarta
PN24015,Lentera Dipantara,Jakarta
PN24016,Mediakita,Jakarta
PN24017,PT Andal Krida Nusantara (Akoer),Jakarta
PN24018,Republika,Jakarta
PN24019,Yayasan Adikarya Ikapi dan The Ford Foundation,Jakarta
PN24020,Bukuné,Malang
PN24021,Shira Media,Sleman
PN24022,AKYPress,Yogyakarta
PN24023,Bentang Pustaka & Truedee,Yogyakarta
PN24024,Orakel,Yogyakarta
PN24025,Pustaka Pelajar,Yogyakarta
