id_user,id_novel,nama_user,tanggal_ulasan,ulasan,rating_user
U2400001,NI240003,Adara Kirana,27 Mei 2018,"Sebenarnya ulasan saya ini tugas sekolah pas disuruh bikin resensi buku sih, haha.

https://expellianmus.blogspot.co.id/2...",5
U2400002,NI240037,Afifah,2 Januari 2015,"*lirik rating-rating tetangga*
*lirik rating sendiri*
*garuk-garuk kuping*
Kok banyak yang bilang bagus ya?? Okeeey, bukannya novel ini nggak bagus. Bagus banget malah, ide ceritanya bagus, jalan ceritanya juga ngalir aja kayak air keran. Tapiii, nggak tahu kenapa kok saya sama sekali nggak dapet feel-nya ya? Kosong dan bikin boring, bikin saya bener-benr berpikir, ini kok nggak selese-selese sih? Jujur saja, saya menyelesaikan membacanya bukan karena penasaran bagaimana akhir ceritanya (yang, untungnya, ada yang nggak ketebak juga), tapi karena saya pengen segera menyingkirkannya begitu saya selesai.
Pertama, saya bukan tipe orang yang tidak menyukai drama, ataupun adegan sedih. I For You sama Summer Breeze udah bikin saya mewek bombay, kok. Tapi, nggak tahu kenapa di novel ini saya merasa agak terlalu berlebihan. Bukan adegan sedihnya, tapi adegan meweknya. Memang, apa yang dialami oleh Yogas adalah kejadian yang amat sangat menyedihkan, mau nangis setiap hari juga kayaknya wajar aja. Tapi yassalaaam, ini novel banyak amat adegan nangisnya, dan itu juga bukan cuma si Yogas doang, ataupun Kana, tapi hampir semua karakter di novel ini pernah melakoni itu adegan tangis-tangisan kayaknya, mungkin cuma si Ono yang kagak pernah nangis, hahahaha. Sampai-sampai tiap kali baca satu adegan, saya selalu membatin, habis ini pasti ada nangis....tuh,kaaaannnn!!
Terus satu lagi, ada apa sih dengan adegan ""menjambak rambut""? Kok kayaknya di novel ini Orizuka seneng banget nulisinnya, dikit-dikit jambak rambut, dikit-dikit jambak rambut, jambak rambut kok cuma dikit? Hihihi....Untung aja yang dijambak rambutnya sendiri, kalo nggak, brutal banget dong jadinya ini novel? Atau mungkin, itu kebiasaannya si Yogas aja ya? Taulah, yang jelas, saya merasa adegan ini agak gengges gitu.
Baidewei, ini pertama kalinya saya merating novel Orizuka serendah ini, dan semoga juga yang terakhir, karena kalau dibandingkan dengan Chronicle of Audy yang saya kasih 5 bintang bulet, ya jauh banget yaa.",2
U2400003,NI240020,Ageng Indra,29 Agustus 2019,"""Tuhan sudah mati
Sekarang Aki jadi Tuhan
Tapi Aki juga akan mati
Jadi semua tidak kekal
Tuhan tidak. Aki tidak. Aku tidak.""

Sajak yang menistakan itu tentu saja salah satu bentuk pengaruh Nietzsche pada Idrus, dan memang nampak banyak nama lain yang mempengaruhinya dalam Aki ini. Sebagai sesama pembaharu, yang beliau suarakan tidak jauh berbeda dengan Chairil, hanya saja terbalik: ketika Chairil mengawali dengan semangat hidup seribu tahun di 'Aku' dan mengakhiri dengan kepasrahan lewat 'Derai-Derai Cemara', Idrus memulai dengan kepasrahan akan maut lantas mengakhiri dengan keinginan hidup hingga seratus tahun. Kurang ajar memang.",4
U2400004,NI240019,Agnes Oryza,22 Oktober 2021,"500 halaman berisi kisah cinta di tepian Sungai Kapuas, Pontianak. Ini buku Tere Liye kedua yang aku baca. Sejujurnya plotnya agak lama, tapi semuanya digambarkan dengan indah seperti biasa khas penuturan Tere Liye. Sepanjang membaca, hati tersentuh dengan banyaknya nasihat percintaan dari Pak Tua yang sangat bisa diaplikasikan di dunia nyata hingga hari ini.",4
U2400005,NI240045,Agus Dwi R,7 Agustus 2014,"Penyajian ceritanya menurut saya ga proporsional. 9/10 isi buku habis buat ngumpulin satu2 karakter ksatrianya. Kirain sisanya bakal dikebut bahas perangnya. Bener juga, tapi tak disangka ternyata cerita terputus dan belum tuntas. Dan ga ada lanjutannya ini gimana woyy.",2
U2400006,NI240021,Agwi,21 Juli 2018,Bilangan pecah kongsi sampai 12,1
U2400007,NI240009,Ahmad,10 April 2009,"Jika karya ini danggap New york Times sebagai yang paling ambisius, saya sepakat. Pram membuktikan dirinya benar-benar patut menjadi nominee nobel sastra. Ia seolah membungkam semua fakta yang selama ini dipercaya sebagai sejarah dengan sangat apik.

Dibandingkan tiga karya terdahulunya, karya ini memang lebih melelahkan. Bahkan, saya sampai berkata, ""Akhirnya, selesai juga..."" Ia berlompatan mengulang semua cerita dari sudut pandang dan daya cerna pikir yang berbeda. Pada akhirnya, ""Rumah Kaca"" bagi saya adalah catatan penting yang laik jadi pengajaran sastra anak-anak muda. Ya, anak-anak muda yang telah kehilangan gairah kepada negerinya sendiri, ditinggal mati oleh idealisme, dan takluk pada pargmatisme.",4
U2400008,NI240010,Aina Hilmi,21 Desember 2008,"Jika di dalam Laskar Pelangi, Ikal ditemani oleh 10 rakan Laskar Pelangi, dan di dalam buku ini, Ikal bersama Arai dan Jimbron. Mereka bertiga mempunyai impian masing-masing dan semuanya mengimpikan supaya mimpi-mimpi mereka menjadi kenyataan. Arai sebenarnya mempunyai pertalian darah dengan ikal. Kesemua ahli keluarganya telah meninggal dunia dan bapa Ikal bertanggungjawab mengambil dan memeliharanya. Arai digelar Simpai Keramat kerana dia merupakan anak tunggal dalam keluarga dan tidak mempunyai saudara-mara lagi. Kedua ibu bapanya juga adalah anak tunggal maka gelaran Simpai Keramat diberi kepadanya seperti mana gelaran oleh masyarakat setempat.

Arai seorang yang sangat cerdas dan seorang sahabat yang baik. Jimbron pula seorang yang tembam dan sangat obsess dengan kuda. Tanyalah apa sahaja mengenaikuda pasti dapat dijawabnya. Ketaksubannya pada kuda sehingga menyebabkan Ikal bengang dan ‘meletup’ juga pada satu hari.Walaupun tidak secerdas Ikal dan Arai, tetapi dia memiliki hati yang baik. Terharu apabila dia sebenarnya mengumpulkan wang di dalam 2 tabung kuda untuk diberikan kepada 2 orang sahabatnya ini ketika mereka ingin pergi melanjutkan pelajaran.

Cerita ini masih terdapat beberapa peristiwa yang melucukan terutama kisah kenakalan mereka, menyeludup masuk ke panggung wayang menonton cerita yang mendorong syahwat mereka akhirnya tertangkap oleh guru mereka dan menjadi ‘pelakon’ di hadapan ratusan pelajar di sekolah mereka kerana mereka dikehendaki melakonkan watak ‘panas’ di dalam filem tersebut. Lagi kisah Jimbron yang berusaha membuatkan Laksmi tersenyum, kisah Arai yang jatuh cinta hingga ‘menuntut ilmu’dengan Bang Zaitun dan macam-macam lagi.

Cerita ini juga memberi inspirasi. Teringat lagi kepada bapa Ikal saat hendak mengambil keputusan peljaran Ikal dan Arai, dia akan mengambil cuti selama 2 hari. Hari pertama, dia akan mengeluarkan kasutnya yang berjenama Angkasa, dijemur dan digilap lembut dengan minyak brek dicampur dengan tumbukan arang. Malah tali pinggang dan basikal rally itu juga akan digilap berkilat. Dan paling istimewa bapa akan mengeluarkan pakaian terbaik yang dia pernah ada iaitu baju safari. Kemudian, dia akan mengayuh basikal sejauh 30 km dan dengan bangganya berjalan menuju ke kerusi hadapan kerana Ikal dan Arai biasa menduduki tangga ke-3 atau ke-5 dalam peperiksaan.

Arai dan Ikal berangkat ke Pulau Jawa dengan azam baru. Mereka bekerja di sana dan terpisah kemudiannya. Ikal akhirnya berjaya dalam temuduganya melanjutkan pelajaran dan tidak disangka-sangka bahawa kertas kajiannya itu mengejutkan profesor yang menemuduganya. Perancangan ALLAH mengatasi segalanya, rupa-rupanya Arai turut datang temuduga di tempat yang sama! Akhirnya mereka berdua berjaya melanjutkan pelajaran di Perancis seperti yang dimimpikan sebelum ini! Subhanallah.",4
U2400009,NI240041,āita,6 Oktober 2022,"Kalau mau mutusin buat baca ini, pliss liat tw dulu yhh. Awalnya sempet mual dan dnf, setelah 5 bulan kayaknya mutusin buat baca lagi, dan overall itss gewddddd oh myyyy😣",4
U2400010,NI240047,Alia,4 April 2022,WOW,5
U2400011,NI240008,Alvina,9 Desember 2015,"Sama mbuletnya kayak novel 100 tahun kesunyian. Sama suramnya. Sama memusingkannya.


------------------------


Ini kisah yang rumit. Sudah lama saya mendengar nama Eka Kurniawan ketika sedang mengobrol dengan teman teman blogger buku atau sekadar melihat buku barunya di timeline. Terlebih setelah bukunya memenangkan anugerah sastra dan banyak review positif mengenainya.

Ketika masih dalam tahap mencoba aplikasi IJak, saya langsung meminjam buku ini. Penasaran tingkat dewa.

Kesan saya? Ouch, buku ini berat banget kisahnya.

Saya ceritakan sedikit silsilah mengenai Dewi Ayu dan keluarganya. Dua orang tuanya merupakan saudara sebapak yang nekad menikah dan kabur dari rumah. Sejak kecil, Dewi ayu tinggal bersama neneknya yang orang Belanda. Kedatangan tentara Jepang membuat si Nenek mengajak Dewi Ayu untuk pergi dari rumah, tetapi Dewi Ayu menolak. Ia tetap tinggal di rumah tersebut sampai tentara mengirimnya ke sebuah penampungan tempat orang orang non pribumi ditempatkan. Dewi Ayu dan beberapa anak gadis ditempatkan dalam sebuah rumah bordil. Sementara yang lain ketakutan, Dewi Ayu malah bersikap santai dan tenang. Ia kelak menjadi wanita idola di rumah bordil tersebut, pun meski kemudian ia melahirkan sebanyak 3 kali, tetap banyak lelaki yang masih ingin tidur dengannya.

Buku ini mengisahkan Dewi Ayu dengan empat anak perempuannya. Tiga di antaranya cantik jelita, Alamanda, Adinda dan Maya Dewi. Sedangkan anak terakhirnya lahir dengan buruk rupa, ironisnya ia dinamai Si Cantik.

Cerita di buku ini unik, meski tak urung membuat saya terbayang bayang novel 100 tahun kesunyian milik Gabriel Marquez saat membacanya. Dewi Ayu memang tidak hidup selama 100 tahun sih, tapi ia menyaksikan bagiamana keturunan-keturunannya itu saling terpaut seputar cinta dan perihal selangkangan. Jelas saya kemudian salut kepada penulis karena bisa meramu plot yang bertindihan dan kompleks dalam buku setebal kurang dari 500 halaman. Mungkin jika endingnya tidak disegerakan, buku ini bisa jauh lebih tebal dan ceritanya makin edan. Selain plot, saya juga salut sama bahasa yang digunakan. Simpel, lugas, apa adanya, tapi juga tak ada kesan jijik. Settingnya juga dideskripsikan dengan apik, saya bisa dengan mudah membayangkan seperti apa kamar di rumah bordil, atau bagaimana saat Dewi Ayu menggali harta karun di rumahnya yang lama. Adegan-adegannya juga diceritakan dengan gamblang, tapi kadang berasa kurang sih perasaannya. Saking detailnya malah kadang saya udah ga peduli itu si Kamerad atau Schodanko ngapain aja XD Dan alurnya juga juara, saya bisa mengikuti meski maju mundur terbolak balik diceritain sama si penulis.

Tapi ceritanya emang berat sih, menurut saya. Jadi heran, kenapa sebuah buku yang dianggap bagus biasanya adalah buku yang berat menurut saya ya? Apa saya kebanyakan micin? *abaikan*",3
U2400012,NI240022,Aman,8 Oktober 2014,Sebuah kisah yang membawa kita menuju ke-RINDU an kepada-Nya,5
U2400013,NI240049,Amika Sutanto,29 Juni 2011,so fantastic.....><,5
U2400014,NI240042,aminahamari,15 Oktober 2022,"buku yang saya beli dengan maksud mengenal seorang teman yang sangat menyukai tulisan-tulisan Fiersa Besari, lewat buku ini saya merasa bersahabat bukan dengan seseorang yang semula ingin saya kenal tapi oleh catatan juang itu sendiri. sinopsis buku ini menurut saya sangat berkesan - Seseorang yang akan menemani setiap langkahmu dengan satu kebaikan kecil setiap harinya. kita dibuat seolah membaca kisah hidup seseorang, tentunya saat memposisikan diri sebagai suar catatan juang bagai obat kuat untuk terus bersemangat. Dan bukankah harta yang paling tak ternilai adalah persahabatan? Ketika seseorang yang tak kukenal membaca tulisanku, lalu merasakan apa yang ku sampaikan, aku telah bersahabat dengannya. (hal. 29). nggak ada salahnya mencoba membaca catatan juang...",4
U2400015,NI240043,ana,9 Juli 2010,"yang saya sukai dari buku ini: 1. alurnya yang cepat dan tidak bertele-tele. penggambaran suasananya tidak berlebihan tapi juga cukup jelas agar pembaca bisa membayangkan sekaligus mengimajnasikannya. 2. kritik-kritik sosial yang sangat terasa dan sangat pas terhadap masalah2 yang sedang in membuat saya manggut-manggut. 3. ide-ide tentang pendidikannya juga bagus, namun menurut saya masih terlalu utopis. (mungkin emang hanya saya aja yang kurang motivasi).lalu yang kurang memuaskan adalah bagian antiklimaksnya karena terlalu sempurna. penyelesaian cerita yang bahagia secara sempurna sepertinya kurang pas dengan cerita ini (subjektif). ditambah lagi dengan adanya rencana-rencana bisnis pendidikan sang tokoh tidak diceritakan kelanjutannya, apakah berhasil atau tidak. selanjutnya, tentang alur. alur waktu yang maju mundur juga membingungkan. tapi bila telah sampai ke bagian tengah cerita, hal ini akan terasa biasa",4
U2400016,NI240036,Ananda Sevma,26 Agustus 2017,"Sepertinya, Puthut EA sedang berusaha memfiksikan kisah cinta kawannya yang pahit. Saya takjub saat membaca namanya sendiri muncul bersamaan Eka Kurniawan di bab akhir--sebelum epilog.

Di akhir epilog, selepas paragraf terakhir buku ini, seyogyanya, setiap pembaca patut membatin, ""Cinta memang tak pernah datang tepat waktu.""",4
